Frequency_MHz,Amplitude_dBm
850,-72.570
855,-72.436
860,-72.443
865,-75.215
870,-73.825
875,-74.069
880,-72.906
885,-75.035
890,-73.422
895,-73.047
900,-72.601
905,-73.131
910,-74.210
915,-74.461
920,-73.172
925,-72.921
930,-74.871
935,-74.986
940,-75.593
945,-74.129
950,-74.014
955,-71.967
960,-71.014
965,-74.213
970,-73.309
975,-74.190
980,-72.464
985,-72.507
990,-75.201
995,-72.361
1000,-73.293
1005,-72.546
1010,-72.702
1015,-73.166
1020,-71.202
1025,-70.488
1030,-72.902
1035,-74.421
1040,-75.085
1045,-72.342
1050,-72.887
1055,-71.496
1060,-72.096
1065,-72.491
1070,-72.483
1075,-73.949
1080,-73.664
1085,-72.469
1090,-71.599
1095,-72.933
1100,-73.015
1105,-74.630
1110,-75.566
1115,-75.155
1120,-75.112
1125,-73.306
1130,-70.445
1135,-72.333
1140,-70.235
1145,-72.443
1150,-72.786
1155,-75.453
1160,-75.453
1165,-75.607
1170,-74.618
1175,-76.595
1180,-75.721
1185,-73.937
1190,-74.169
1195,-73.834
1200,-73.391
1205,-72.056
1210,-74.979
1215,-72.270
1220,-73.564
1225,-73.934
1230,-72.057
1235,-74.578
1240,-74.668
1245,-71.783
1250,-74.176
1255,-73.257
1260,-72.839
1265,-71.788
1270,-71.495
1275,-72.048
1280,-71.590
1285,-73.897
1290,-74.379
1295,-74.568
1300,-73.878
1305,-71.227
1310,-71.145
1315,-72.398
1320,-71.586
1325,-70.334
1330,-72.328
1335,-72.805
1340,-71.515
1345,-72.455
1350,-74.142
1355,-73.563
1360,-69.762
1365,-70.991
1370,-70.179
1375,-71.704
1380,-72.522
1385,-71.161
1390,-70.419
1395,-70.094
1400,-71.590
1405,-70.797
1410,-68.961
1415,-70.285
1420,-71.191
1425,-72.278
1430,-72.660
1435,-70.093
1440,-70.288
1445,-68.385
1450,-70.361
1455,-72.728
1460,-69.932
1465,-71.094
1470,-69.993
1475,-71.139
1480,-72.263
1485,-70.045
1490,-70.305
1495,-70.424
1500,-69.962
1505,-72.025
1510,-70.904
1515,-72.155
1520,-71.845
1525,-73.338
1530,-73.066
1535,-70.080
1540,-69.262
1545,-67.780
1550,-69.297
1555,-71.589
1560,-69.857
1565,-69.318
1570,-70.459
1575,-70.118
1580,-70.105
1585,-70.678
1590,-72.295
1595,-70.572
1600,-69.400
1605,-68.093
1610,-69.802
1615,-72.009
1620,-71.445
1625,-72.055
1630,-71.575
1635,-72.960
1640,-71.046
1645,-71.073
1650,-69.798
1655,-70.547
1660,-68.745
1665,-69.652
1670,-68.814
1675,-69.086
1680,-70.621
1685,-70.250
1690,-72.561
1695,-69.164
1700,-69.768
1705,-69.318
1710,-2.655
1715,-4.716
1720,-4.463
1725,-4.216
1730,-3.408
1735,-0.778
1740,-2.727
1745,-1.733
1750,-4.279
1755,-1.131
1760,-0.029
1765,-1.083
1770,-0.176
1775,-0.053
1780,0.076
1785,-1.825
1790,-71.568
